所属模块,用例编号,用例标题,步骤,预期,用例类型,优先级,用例状态,前置条件
/系统后台管理(#78),xthtgl-011,等级下拉选项测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3. 选择等级下拉选项检查下拉菜单

",1. 下拉菜单里的选项跟系统管理里的会员类别管理内容一致,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-012,修改等级测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3. 选择等级下拉菜单，选择白金会员
4.点击提交
5.回到会员管理界面后在查询列表中查看yang的等级

",5.yang的等级变成白金会员,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-013,编辑界面返回测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3.点击编辑界面左上角的返回用户列表按钮

",1.界面跳转回到会员管理界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-014,编辑界面取消测试测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮，任意修改几个输入框
2.点击编辑界面右下角的取消按钮

",1.界面跳转回到会员管理界面，yang账号内的信息跟编辑前没有变化,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-015,锁定测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的锁定按钮

",1. 弹出提示“锁定成功”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-016,解锁测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的解锁按钮（前提是yang账号已经锁定）

",1.弹出提示“解锁成功”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-017,发送站内信测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
",1.进入到站内信发送的编辑界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-018,发送站内信用户名测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.修改用户名为“我的天啊”
",1.用户名不可修改,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-019,发送站内信标题测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.在站内标题输入分别输入（1）我的（2）aad(3)###$(4)“”(5)为空
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）
",1.所有的输入内容都可以提交成功,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-020,发送站内信标题输入长度测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.在站内标题输入输入100位字符串
4.点击提交按钮
",1.可以完成提交,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-021,发送站内信内容输入测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.在站内信内容输入分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
4.点击提交按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）
",1.每一种数据类型都有可以提交成功，输入为空时不能提交，会弹出提示“站内信内容不能为空”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#79),xthtgl-022,发送站内信内容输入长度测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.在站内信内容输入256个字符串
4.点击提交按钮
",1.可以完成提交,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#79),xthtgl-023,发送站内信内容返回,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.点击左上角的返回按钮
",1.界面跳转回到会员管理界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#79),xthtgl-024,发送站内信内容取消,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的发送站内信按钮
3.修改用户名为“我的天啊”
4.点击取消按钮
",1.界面跳转回到会员管理界面，取消之后编辑的信息不好保存,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-025,冻结测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的冻结按钮
3.去前台查看提现功能是否可以实现",1.冻结之后前台没有提现这个按钮了,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-026,解冻测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的解冻按钮（前提是yang这个账号已经被冻结了）
3.去前台查看提现功能是否可以实现
",1.解冻之后的账号的功能恢复如初,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-027,资金操作界面测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
",1.进入到资金操作的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-028,资金操作修改用户名测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.修改用户名为“我的”",1.用户名不可修改,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-029,资金操作修改金额测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.修改金额为“10000”",1、金额不可以直接修改,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-030,资金操作资金测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.在操作类型中选择增加
4.在资金输入框中分别输入（1）我的（2）aad(3)###$(4)1000(5)为空（6）11.11
5.点击提交按钮（第四步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.金额只允许输入数字跟小数，其他的数据类型都不能提交成功,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-031,资金操作资金测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.在操作类型中选择增加
4.在资金输入框中输入1234567890
5.点击提交",资金的输入长度只能是9位数字，超过之后不能提交,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-032,资金的增加测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.在操作类型中选择增加
4.在资金输入框中输入1000
5.点击提交之后在进入到资金操作中查看余额变化",1.余额的金额在之前的基础上增加了1000,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-033,资金的减少测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.在操作类型中选择减少
4.在资金输入框中输入1000
5.点击提交之后在进入到资金操作中查看余额变化",1.余额的金额在之前的基础上减少了1000,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-034,返回测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.点击左上方的返回按钮",1.回到会员管理的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-035,取消测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的资金操作按钮
3.在操作类型中选择减少
4.在资金输入框中输入1000
5.点击取消之后再次进入到资金操作中查看余额变化",1.取消之后返回到会员管理界面，之前的操作不好保存，余额不好发送变化,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-036,删除测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击954这个账号的删除按钮点击",1.弹出提示“删除成功”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有954这个账号"
/系统后台管理(#78),xthtgl-037,翻页测试,"1.点击系统后台管理下的会员管理按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是11是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有11个账号以上"
/系统后台管理(#78),xthtgl-038,翻页测试,"1.点击系统后台管理下的会员管理按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有11个账号以上"
/系统后台管理(#78),xthtgl-039,翻页测试,"1.点击系统后台管理下的会员管理按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有11个账号以上"
/财务管理(#79),cwgl-001,提现未处理链接测试,1. 点击财务管理下的提现未处理按钮,界面跳转到提现未处理,功能测试,,正常,"1.登录http://192.168.1.199/admin888
1.输入账号admin 密码admin登录"
/财务管理(#79),cwgl-002,提现未处理查询测试,"1. 点击财务管理下的提现未处理按钮
2. 在提现未处理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号未处理的提现申请信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-003,提现未处理查询测试,"1. 点击财务管理下的提现未处理按钮
2. 在提现未处理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.没有yang000的提现未处理信息"
/财务管理(#79),cwgl-004,提现未处理查询测试,"1. 点击财务管理下的提现未处理按钮
2. 在提现未处理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-005,提现未处理查询测试,"1. 点击财务管理下的提现未处理按钮
2. 在提现未处理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-006,提现未处理处理测试,"1. 点击财务管理下的提现未处理按钮
2.选择一条记录信息点击处理记录按钮",1.弹出提示“处理成功”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-007,提现未处理语音提示,"1.进入前台使用yang账号登录
2.进行一次提现操作
3.进入后台查看是否有语音提示",会有‘你有最新的消息请注意查收’的提示,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
"
/财务管理(#79),cwgl-007,提现未处理删除测试,"1. 点击财务管理下的提现未处理按钮
2.选择一条记录信息点击删除记录按钮",1.弹出提示“删除成功”，这条记录从查询列表中消失,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-008,翻页测试,"1. 点击财务管理下的提现未处理按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是11是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-009,翻页测试,"1. 点击财务管理下的提现未处理按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-010,翻页测试,"1. 点击财务管理下的提现未处理按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-011,提现管理,1. 点击财务管理下的提现管理按钮,1.进入到提现管理界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-012,提现管理查询测试,"1. 点击财务管理下的提现管理按钮
2. 在提现提现管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号未处理的提现申请信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-013,提现管理查询测试,"1. 点击财务管理下的提现管理按钮
2. 在提现管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-014,提现管理查询测试,"1.点击系统后台管理下的提现管理按钮
2. 在提现管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-015,提现管理查询测试,"1. 点击财务管理下的提现管理按钮
2. 在提现管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-016,提现管理处理状态查询测试,"1. 点击财务管理下的提现管理按钮
2. 检查处理状态下拉选项菜单的内容",1.下拉菜单的状态内容为“已处理”，‘未处理’，‘取消提现’，‘所有’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-017,提现管理处理状态查询测试,"1. 点击财务管理下的提现管理按钮
2. 处理状态下拉选项菜单中选择已处理
3.点击查询按钮",1.查询出所有状态为已处理的提现记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有状态为已处理的记录信息"
/财务管理(#79),cwgl-018,提现管理处理状态查询测试,"1. 点击财务管理下的提现管理按钮
2. 处理状态下拉选项菜单中选择所有
4.点击查询按钮",2.查询出所有状态的提现记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-019,提现管理处理测试,"1. 点击财务管理下的提现未处理按钮
2.选择一条记录信息点击处理记录按钮",1.弹出提示“处理成功”，记录的状态显示为‘已处理’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-020,提现管理删除测试,"1. 点击财务管理下的提现管理按钮
2.选择一条记录信息点击删除记录按钮",1.弹出提示“删除成功”，这条记录从查询列表中消失,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-021,提现管理取消提现测试,"1. 点击财务管理下的提现管理按钮
2.选择一条记录信息点击取消提现按钮",1.弹出提示“处理成功”，记录的状态显示为‘取消提现’,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.提现记录中已有yang111和其他账号的部分提现信息"
/财务管理(#79),cwgl-022,翻页测试,"1. 点击财务管理下的提现管理按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是11是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-023,翻页测试,"1. 点击财务管理下的提现未处理按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-024,翻页测试,"1. 点击财务管理下的提现管理按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个未处理的提现信息以上"
/财务管理(#79),cwgl-025,公司入款记录测试,1. 点击财务管理下的公司入款记录按钮,界面跳转到公司入款记录界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-026,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现提现管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号所有的充值记录信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-027,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-028,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-029,公司入款记录查询测试,"1. 点击财务管理下的公司入款记录按钮
2. 在提现管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-030,翻页测试,"1. 点击财务管理下的公司入款记录按钮
2.检查查询列表最下方的记录总数总结",1.记录总结的数量是11是当前页面显示的所有记录信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-031,翻页测试,"1. 点击财务管理下的公司入款记录按钮
2.在查询列表下点击下一页按钮
3.点击上一页按钮",1.界面跳转到下一页后点击上一页回到最初的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-032,翻页测试,"1. 点击财务管理下的公司入款记录按钮
2.在查询列表下点击2按钮",1.直接跳转到第二页的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-033,公司入款记录充值测试,"1. 点击财务管理下的公司入款记录按钮
2.选择一条状态为未处理的记录点击确认充值",1.弹出提示“充值成功”，状态变为已处理,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-034,公司入款记录删除记录,"1. 点击财务管理下的公司入款记录按钮
2.选择一条状态为未处理的记录点击删除",1.弹出提示“删除成功”,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-035,公司入款记录删除记录,"1. 点击财务管理下的公司入款记录按钮
2.选择一条状态为已处理的记录点击删除",1.已处理的记录没有删除这个按钮,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有11个账号充值记录信息以上"
/财务管理(#79),cwgl-036,充值管理测试,1. 点击财务管理下的充值管理按钮,1.进入到充值管理的界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-037,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在充值管理管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang111的账号所有的充值记录信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上
4.已有yang111的充值记录信息"
/财务管理(#79),cwgl-038,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在充值管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上
4.没有yang000的充值信息"
/财务管理(#79),cwgl-039,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在提现管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000(5)为空
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
/财务管理(#79),cwgl-040,充值管理查询测试,"1. 点击财务管理下的充值管理按钮
2. 在充值管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.已有30条充值记录信息以上"
